title,author,isbn,num_pages,avg_rating,rating,review,read_count,date_published,date_started,date_read,date_added,user_id,synced_at,cover_url
The World at My Back,"Melle, Thomas",,308.0,4.01,,,0,,,,2023-07-09,105421501,2023-07-14 16:33:18.986186,
Retrospective,"Vásquez, Juan Gabriel",,448.0,4.43,,,0,,,,2023-07-09,105421501,2023-07-14 16:33:18.986186,
"Beartown
        (Beartown, #1)","Backman, Fredrik",,415.0,4.29,,,0,2016-09-15,,,2023-07-03,105421501,2023-07-14 16:33:18.986186,
Hidden Genius: The secret ways of thinking that power the world's most successful people,"Pompliano, Polina Marinova",,252.0,4.2,,,0,,,,2023-06-27,105421501,2023-07-14 16:33:18.986186,
Station Eleven,"Mandel, Emily St. John",,333.0,4.07,3.0,,1,2014-09-09,2023-06-17,2023-06-27,2023-06-27,105421501,2023-07-14 16:33:18.986186,
The Grapes of Wrath,"Steinbeck, John",,479.0,4.0,,,0,1939-04-14,,,2023-06-25,105421501,2023-07-14 16:33:18.986186,
The Nineties,"Klosterman, Chuck",,370.0,3.88,1.0,,1,2022-02-08,2023-06-15,2023-06-24,2023-06-24,105421501,2023-07-14 16:33:18.986186,
Chinese Prodigal: A Memoir in Eight Arguments,"Shih, David",,304.0,4.0,,,0,,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Pulling the Chariot of the Sun: A Memoir of a Kidnapping,"McCrae, Shane",,272.0,3.92,,,0,2023-08-01,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Strong Female Character,"Brady, Fern",,288.0,4.65,,,0,2023-02-14,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Omega Farm: A Memoir,"McPhee, Martha",,256.0,4.69,,,0,,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Directions to Myself: A Memoir of Four Years,"Julavits, Heidi",,304.0,4.29,,,0,,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Overseas Adventures: From Afghanistan to Zambia and Points In-Between,"Shears, Arthur E.",,217.0,4.33,,,0,,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
Bright Young Women,"Knoll, Jessica",,384.0,3.99,,,0,2023-10-03,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
"Raising Good Humans Every Day: 50 Simple Ways to Press Pause, Stay Present, and Connect with Your Kids","Clarke-Fields, Hunter",,216.0,4.38,,,0,,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
The People We Keep,"Larkin, Allison",,384.0,4.14,,,0,2021-08-03,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
The Marriage Portrait,"O'Farrell, Maggie",,352.0,4.04,,,0,2022-09-06,,,2023-06-19,105421501,2023-07-14 16:33:18.986186,
"Internetworking with TCP/IP Vol.1: Principles, Protocols, and Architecture","Comer, Douglas E.",,750.0,4.13,,,0,1988-04-01,,,2023-06-16,105421501,2023-07-14 16:33:18.986186,
String Theory: David Foster Wallace on Tennis,"Wallace, David Foster",,138.0,4.17,,,0,,,,2023-06-15,105421501,2023-07-14 16:33:18.986186,
